parameter,value,seed,source,success_rate,collision_rate,escape_rate,mean_final_distance,mean_final_speed,mean_fuel,mean_safety_violations,mean_return,delta_success_rate,delta_mean_return
actor_alpha,0.001,101,trained,1.0,0.0,0.0,1.3736577338750602,0.02507341820885055,3.5291684377008847,0.0,327.7798281001019,0.0,-0.21845344471751105
actor_alpha,0.001,202,trained,1.0,0.0,0.0,1.407923033158907,0.022555827985990595,3.2105482063308726,0.0,327.043216819758,0.125,129.61379351832346
actor_alpha,0.0025,101,trained,0.95,0.05,0.0,1.2779870908468804,0.028632252820019143,3.6915635745321334,0.0,275.72619843900594,-0.050000000000000044,-52.272083105813465
actor_alpha,0.0025,202,trained,1.0,0.0,0.0,1.369877054785335,0.026207541181338723,3.196809165611232,0.0,328.01431527213424,0.125,130.5848919706997
actor_alpha,0.005,101,trained,0.95,0.05,0.0,1.2771912685719726,0.024369909544271085,4.7565209859776045,0.0,246.09967601386,-0.050000000000000044,-81.8986055309594
actor_alpha,0.005,202,trained,0.925,0.075,0.0,1.1944429050173877,0.02970603380476815,4.175185909630786,0.0,249.96113928675967,0.050000000000000044,52.53171598532512
critic_alpha,0.01,101,trained,1.0,0.0,0.0,1.384809127377101,0.024448006644754418,3.3398494736785764,0.0,328.05409905301593,0.0,0.05581750819652598
critic_alpha,0.01,202,trained,0.975,0.025,0.0,1.3496097562652425,0.02425049965454269,3.4748781851789077,0.0,300.94309203569463,0.09999999999999998,103.51366873426008
critic_alpha,0.02,101,baseline_reused,1.0,0.0,0.0,1.3676994152374113,0.02847808365997474,3.708880805167334,0.0,327.9982815448194,0.0,0.0
critic_alpha,0.02,202,baseline_reused,0.875,0.125,0.0,1.2031719612377119,0.030400501428018988,3.827515052352909,0.0,197.42942330143455,0.0,0.0
critic_alpha,0.04,101,trained,1.0,0.0,0.0,1.3538905926449718,0.030456130908189626,3.7037710833083666,0.0,328.4132093972295,0.0,0.4149278524100737
critic_alpha,0.04,202,trained,0.8375,0.1625,0.0,1.1538301798277926,0.030515244061148628,3.6403004395244336,0.0,158.40078929075884,-0.03749999999999998,-39.02863401067572
sigma_start,0.25,101,trained,0.9875,0.0125,0.0,1.3576116784116585,0.027685434600415015,6.012862875076479,0.325,197.6359395262215,-0.012499999999999956,-130.3623420185979
sigma_start,0.25,202,trained,0.85,0.15,0.0,1.1018080530145504,0.031364721064437426,3.942513562721922,0.0,170.95607494314783,-0.025000000000000022,-26.473348358286728
sigma_start,0.45,101,baseline_reused,1.0,0.0,0.0,1.3676994152374113,0.02847808365997474,3.708880805167334,0.0,327.9982815448194,0.0,0.0
sigma_start,0.45,202,baseline_reused,0.875,0.125,0.0,1.2031719612377119,0.030400501428018988,3.827515052352909,0.0,197.42942330143455,0.0,0.0
sigma_start,0.7,101,trained,1.0,0.0,0.0,1.3884595105366089,0.023951860602178278,3.342331476755464,0.0,327.7341052954445,0.0,-0.26417624937488426
sigma_start,0.7,202,trained,1.0,0.0,0.0,1.3975144504531,0.02098715564488244,3.018657433167061,0.0,327.4657690419487,0.125,130.03634574051415
warm_start_scale,0.0,101,baseline_reused,1.0,0.0,0.0,1.3676994152374113,0.02847808365997474,3.708880805167334,0.0,327.9982815448194,0.0,0.0
warm_start_scale,0.0,202,baseline_reused,0.875,0.125,0.0,1.2031719612377119,0.030400501428018988,3.827515052352909,0.0,197.42942330143455,0.0,0.0
warm_start_scale,0.5,101,trained,0.95,0.05,0.0,1.2705207997413894,0.02978941621525467,3.9339142378489376,0.0,276.3427979942153,-0.050000000000000044,-51.65548355060412
warm_start_scale,0.5,202,trained,1.0,0.0,0.0,1.3809567526205995,0.02611615369912208,4.971467184020049,0.125,283.4958186195788,0.125,86.06639531814426
warm_start_scale,1.0,101,trained,0.95,0.05,0.0,1.2451071265785298,0.028334172549789715,4.646510090497284,0.0,276.13410676664546,-0.050000000000000044,-51.86417477817395
warm_start_scale,1.0,202,trained,0.9,0.1,0.0,1.169218497179462,0.026743440916597517,4.449089172619521,0.0,223.89678444786554,0.025000000000000022,26.46736114643099
fuel_penalty,0.06,101,trained,0.8625,0.1375,0.0,1.1809835150824437,0.02942273883329962,3.7664396821841137,0.0,184.34757358372775,-0.13749999999999996,-143.65070796109165
fuel_penalty,0.06,202,trained,1.0,0.0,0.0,1.3490942945654179,0.0276871421091467,3.257708443399747,0.0,328.5357030188534,0.125,131.10627971741883
fuel_penalty,0.12,101,baseline_reused,1.0,0.0,0.0,1.3676994152374113,0.02847808365997474,3.708880805167334,0.0,327.9982815448194,0.0,0.0
fuel_penalty,0.12,202,baseline_reused,0.875,0.125,0.0,1.2031719612377119,0.030400501428018988,3.827515052352909,0.0,197.42942330143455,0.0,0.0
fuel_penalty,0.24,101,trained,0.9375,0.0625,0.0,1.3140307037008765,0.025357890268176208,3.9299353782475235,0.0,261.3020480348099,-0.0625,-66.6962335100095
fuel_penalty,0.24,202,trained,1.0,0.0,0.0,1.358520356545752,0.029862889177599983,3.31652447924784,0.0,328.0855976347935,0.125,130.65617433335893
